GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
0400000US24,24,Maryland,1600000US2462475,2462475,"Maryland - PLACE - Pocomoke City city, Worcester County","Pocomoke City city, Worcester County",4184,1894,3.94,0.25,3.69,1134.2,513.4
0400000US24,24,Maryland,1600000US2462575,2462575,"Maryland - PLACE - Point of Rocks CDP, Frederick County","Point of Rocks CDP, Frederick County",1466,526,1.10,0.00,1.10,1331.0,477.6
0400000US24,24,Maryland,1600000US2462675,2462675,"Maryland - PLACE - Pomfret CDP, Charles County","Pomfret CDP, Charles County",517,204,2.74,0.00,2.74,188.7,74.5
0400000US24,24,Maryland,1600000US2462775,2462775,"Maryland - PLACE - Pondsville CDP, Washington County","Pondsville CDP, Washington County",158,60,0.31,0.00,0.31,512.1,194.5
0400000US24,24,Maryland,1600000US2462850,2462850,"Maryland - PLACE - Poolesville town, Montgomery County","Poolesville town, Montgomery County",4883,1663,3.95,0.02,3.93,1242.2,423.1
0400000US24,24,Maryland,1600000US2463075,2463075,"Maryland - PLACE - Port Deposit town, Cecil County","Port Deposit town, Cecil County",653,429,2.27,0.00,2.27,288.2,189.3
0400000US24,24,Maryland,1600000US2463225,2463225,"Maryland - PLACE - Port Tobacco Village town, Charles County","Port Tobacco Village town, Charles County",13,7,0.16,0.00,0.16,83.2,44.8
0400000US24,24,Maryland,1600000US2463300,2463300,"Maryland - PLACE - Potomac CDP, Montgomery County","Potomac CDP, Montgomery County",44965,16642,26.58,1.46,25.11,1790.5,662.7
0400000US24,24,Maryland,1600000US2463375,2463375,"Maryland - PLACE - Potomac Heights CDP, Charles County","Potomac Heights CDP, Charles County",1117,562,1.32,0.25,1.07,1040.8,523.7
0400000US24,24,Maryland,1600000US2463425,2463425,"Maryland - PLACE - Potomac Park CDP, Allegany County","Potomac Park CDP, Allegany County",2530(r44990),406,0.39,0.00,0.39,6559.9,1052.7
0400000US24,24,Maryland,1600000US2463725,2463725,"Maryland - PLACE - Powellville CDP, Wicomico County","Powellville CDP, Wicomico County",189,86,1.49,0.01,1.48,127.6,58.0
0400000US24,24,Maryland,1600000US2463825,2463825,"Maryland - PLACE - Preston town, Caroline County","Preston town, Caroline County",719,295,0.57,0.00,0.57,1261.8,517.7
0400000US24,24,Maryland,1600000US2463950,2463950,"Maryland - PLACE - Prince Frederick CDP, Calvert County","Prince Frederick CDP, Calvert County",2538,1111,3.67,0.00,3.66,693.0,303.4
0400000US24,24,Maryland,1600000US2464000,2464000,"Maryland - PLACE - Princess Anne town, Somerset County","Princess Anne town, Somerset County",3290,1500,1.68,0.02,1.67,1973.1,899.6
0400000US24,24,Maryland,1600000US2464375,2464375,"Maryland - PLACE - Pylesville CDP, Harford County","Pylesville CDP, Harford County",693,242,4.75,0.01,4.74,146.1,51.0
0400000US24,24,Maryland,1600000US2464475,2464475,"Maryland - PLACE - Quantico CDP, Wicomico County","Quantico CDP, Wicomico County",133,55,1.89,0.00,1.89,70.4,29.1
0400000US24,24,Maryland,1600000US2464495,2464495,"Maryland - PLACE - Queen Anne CDP, Prince George's County","Queen Anne CDP, Prince George's County",1280,438,8.73,0.02,8.71,146.9,50.3
0400000US24,24,Maryland,1600000US2464500,2464500,Maryland - PLACE - Queen Anne town,Queen Anne town,222,89,0.13,0.00,0.13,1678.6,672.9
0400000US24,24,Maryland,1550000US2464500035,2464500035,Maryland - PLACE - Queen Anne town - Queen Anne's County (part),Queen Anne's County (part),128,53,0.08,0.00,0.08,1682.9,696.8
0400000US24,24,Maryland,1550000US2464500041,2464500041,Maryland - PLACE - Queen Anne town - Talbot County (part),Talbot County (part),94,36,0.06,0.00,0.06,1672.6,640.6
0400000US24,24,Maryland,1600000US2464535,2464535,"Maryland - PLACE - Queenland CDP, Prince George's County","Queenland CDP, Prince George's County",1929,680,4.87,0.01,4.86,397.2,140.0
0400000US24,24,Maryland,1600000US2464600,2464600,"Maryland - PLACE - Queenstown town, Queen Anne's County","Queenstown town, Queen Anne's County",664,294,1.45,0.00,1.45,457.0,202.3
0400000US24,24,Maryland,1600000US2464950,2464950,"Maryland - PLACE - Randallstown CDP, Baltimore County","Randallstown CDP, Baltimore County",32430,12634,10.23,0.01,10.22,3174.3,1236.6
0400000US24,24,Maryland,1600000US2465150,2465150,"Maryland - PLACE - Rawlings CDP, Allegany County","Rawlings CDP, Allegany County",693,300,0.90,0.00,0.89,776.0,335.9
0400000US24,24,Maryland,1600000US2465312,2465312,"Maryland - PLACE - Redland CDP, Montgomery County","Redland CDP, Montgomery County",17242,5596,7.24,0.18,7.06,2442.0,792.6
0400000US24,24,Maryland,1600000US2465550,2465550,"Maryland - PLACE - Reid CDP, Washington County","Reid CDP, Washington County",54,22,0.13,0.00,0.13,431.5,175.8
0400000US24,24,Maryland,1600000US2465600,2465600,"Maryland - PLACE - Reisterstown CDP, Baltimore County","Reisterstown CDP, Baltimore County",25968,10594,5.17,0.00,5.16,5029.1,2051.7
0400000US24,24,Maryland,1600000US2466000,2466000,"Maryland - PLACE - Ridgely town, Caroline County","Ridgely town, Caroline County",1639,667,1.78,0.00,1.78,920.8,374.7
0400000US24,24,Maryland,1600000US2466150,2466150,"Maryland - PLACE - Ringgold CDP, Washington County","Ringgold CDP, Washington County",166,72,0.29,0.00,0.29,575.5,249.6
0400000US24,24,Maryland,1600000US2466275,2466275,"Maryland - PLACE - Rising Sun town, Cecil County","Rising Sun town, Cecil County",2781,1137,1.27,0.01,1.26,2209.5,903.3
0400000US24,24,Maryland,1600000US2466400,2466400,"Maryland - PLACE - Riva CDP, Anne Arundel County","Riva CDP, Anne Arundel County",4076,1569,2.90,0.45,2.46,1659.5,638.8
0400000US24,24,Maryland,1600000US2466635,2466635,"Maryland - PLACE - Riverdale Park town, Prince George's County","Riverdale Park town, Prince George's County",6956,2058,1.67,0.03,1.65,4218.4,1248.1
0400000US24,24,Maryland,1600000US2466762,2466762,"Maryland - PLACE - Riverside CDP, Harford County","Riverside CDP, Harford County",6425,2579,2.34,0.01,2.33,2754.3,1105.6
0400000US24,24,Maryland,1600000US2466850,2466850,"Maryland - PLACE - Riviera Beach CDP, Anne Arundel County","Riviera Beach CDP, Anne Arundel County",12677,5098,3.21,0.58,2.63,4813.7,1935.8
0400000US24,24,Maryland,1600000US2467000,2467000,"Maryland - PLACE - Robinwood CDP, Washington County","Robinwood CDP, Washington County",6918,3044,3.86,0.00,3.86,1792.6,788.8
0400000US24,24,Maryland,1600000US2467400,2467400,"Maryland - PLACE - Rock Hall town, Kent County","Rock Hall town, Kent County",1310,930,1.55,0.21,1.34,978.9,695.0
0400000US24,24,Maryland,1600000US2467500,2467500,"Maryland - PLACE - Rock Point CDP, Charles County","Rock Point CDP, Charles County",107,59,0.63,0.00,0.63,170.1,93.8
0400000US24,24,Maryland,1600000US2467675,2467675,"Maryland - PLACE - Rockville city, Montgomery County","Rockville city, Montgomery County",61209,25199,13.57,0.06,13.51,4531.7,1865.7
0400000US24,24,Maryland,1600000US2467950,2467950,"Maryland - PLACE - Rohrersville CDP, Washington County","Rohrersville CDP, Washington County",175,69,0.35,0.00,0.35,501.6,197.8
0400000US24,24,Maryland,1600000US2468300,2468300,"Maryland - PLACE - Rosaryville CDP, Prince George's County","Rosaryville CDP, Prince George's County",10697,3625,9.20,0.02,9.18,1164.8,394.7
0400000US24,24,Maryland,1600000US2468400,2468400,"Maryland - PLACE - Rosedale CDP, Baltimore County","Rosedale CDP, Baltimore County",19257,7606,7.14,0.25,6.90,2792.6,1103.0
0400000US24,24,Maryland,1600000US2468600,2468600,"Maryland - PLACE - Rosemont village, Frederick County","Rosemont village, Frederick County",294,118,0.56,0.00,0.56,528.6,212.1
0400000US24,24,Maryland,1600000US2468700,2468700,"Maryland - PLACE - Rossville CDP, Baltimore County","Rossville CDP, Baltimore County",15147,6524,5.39,0.03,5.37,2822.2,1215.5
0400000US24,24,Maryland,1600000US2469200,2469200,"Maryland - PLACE - Sabillasville CDP, Frederick County","Sabillasville CDP, Frederick County",354,149,1.50,0.00,1.50,236.4,99.5
0400000US24,24,Maryland,1600000US2469425,2469425,"Maryland - PLACE - St. George Island CDP, St. Mary's County","St. George Island CDP, St. Mary's County",257,157,0.93,0.26,0.67,382.1,233.4
0400000US24,24,Maryland,1600000US2469550,2469550,"Maryland - PLACE - St. James CDP, Washington County","St. James CDP, Washington County",2953,1084,6.04,0.00,6.04,488.6,179.3
0400000US24,24,Maryland,1600000US2469675,2469675,"Maryland - PLACE - St. Leonard CDP, Calvert County","St. Leonard CDP, Calvert County",742,252,2.31,0.03,2.28,325.5,110.6
0400000US24,24,Maryland,1600000US2469825,2469825,"Maryland - PLACE - St. Michaels town, Talbot County","St. Michaels town, Talbot County",1029,711,1.25,0.10,1.15,895.7,618.9
0400000US24,24,Maryland,1600000US2469925,2469925,"Maryland - PLACE - Salisbury city, Wicomico County","Salisbury city, Wicomico County",30343,13401,13.86,0.47,13.40,2265.2,1000.4
0400000US24,24,Maryland,1600000US2470175,2470175,"Maryland - PLACE - Sandy Hook CDP, Washington County","Sandy Hook CDP, Washington County",188,81,0.22,0.00,0.22,871.9,375.7
0400000US24,24,Maryland,1600000US2470300,2470300,"Maryland - PLACE - San Mar CDP, Washington County","San Mar CDP, Washington County",384,144,0.45,0.00,0.45,849.7,318.6
0400000US24,24,Maryland,1600000US2470475,2470475,"Maryland - PLACE - Savage CDP, Howard County","Savage CDP, Howard County",7054,2778,2.74,0.01,2.74,2578.1,1015.3
0400000US24,24,Maryland,1600000US2470530,2470530,"Maryland - PLACE - Scaggsville CDP, Howard County","Scaggsville CDP, Howard County",24333,8795,10.65,0.37,10.29,2365.5,855.0
0400000US24,24,Maryland,1600000US2470775,2470775,"Maryland - PLACE - Seabrook CDP, Prince George's County","Seabrook CDP, Prince George's County",17287,6195,3.02,0.00,3.02,5722.9,2050.9
0400000US24,24,Maryland,1600000US2470850,2470850,"Maryland - PLACE - Seat Pleasant city, Prince George's County","Seat Pleasant city, Prince George's County",4542,1806,0.73,0.00,0.73,6224.5,2475.0
0400000US24,24,Maryland,1600000US2470900,2470900,"Maryland - PLACE - Secretary town, Dorchester County","Secretary town, Dorchester County",535,234,0.26,0.00,0.26,2043.7,893.9
0400000US24,24,Maryland,1600000US2471150,2471150,"Maryland - PLACE - Severn CDP, Anne Arundel County","Severn CDP, Anne Arundel County",44231,16469,17.71,0.00,17.71,2497.0,929.8
0400000US24,24,Maryland,1600000US2471200,2471200,"Maryland - PLACE - Severna Park CDP, Anne Arundel County","Severna Park CDP, Anne Arundel County",37634,13551,19.34,2.85,16.49,2282.7,821.9
0400000US24,24,Maryland,1600000US2471450,2471450,"Maryland - PLACE - Shady Side CDP, Anne Arundel County","Shady Side CDP, Anne Arundel County",5803,2588,8.01,1.25,6.76,858.3,382.8
0400000US24,24,Maryland,1600000US2471460,2471460,"Maryland - PLACE - Shaft CDP, Allegany County","Shaft CDP, Allegany County",235,96,0.80,0.01,0.79,298.8,122.1
0400000US24,24,Maryland,1600000US2471600,2471600,"Maryland - PLACE - Sharpsburg town, Washington County","Sharpsburg town, Washington County",705,325,0.23,0.00,0.23,3012.1,1388.6
0400000US24,24,Maryland,1600000US2471650,2471650,"Maryland - PLACE - Sharptown town, Wicomico County","Sharptown town, Wicomico County",651,290,0.46,0.05,0.41,1578.2,703.0
0400000US24,24,Maryland,1600000US2472350,2472350,"Maryland - PLACE - Silver Hill CDP, Prince George's County","Silver Hill CDP, Prince George's County",5950,2714,1.34,0.00,1.34,4440.1,2025.3
0400000US24,24,Maryland,1600000US2472450,2472450,"Maryland - PLACE - Silver Spring CDP, Montgomery County","Silver Spring CDP, Montgomery County",71452,30522,7.95,0.03,7.92,9023.0,3854.3
0400000US24,24,Maryland,1600000US2472887,2472887,"Maryland - PLACE - Smith Island CDP, Somerset County","Smith Island CDP, Somerset County",276,255,9.18,4.83,4.35,63.5,58.6
0400000US24,24,Maryland,1600000US2472900,2472900,"Maryland - PLACE - Smithsburg town, Washington County","Smithsburg town, Washington County",2975,1082,1.06,0.01,1.05,2831.0,1029.6
0400000US24,24,Maryland,1600000US2473075,2473075,"Maryland - PLACE - Snow Hill town, Worcester County","Snow Hill town, Worcester County",2103,1005,3.12,0.11,3.01,698.9,334.0
0400000US24,24,Maryland,1600000US2473325,2473325,"Maryland - PLACE - Solomons CDP, Calvert County","Solomons CDP, Calvert County",2368,1531,2.34,0.34,1.99,1189.6,769.1
0400000US24,24,Maryland,1600000US2473350,2473350,"Maryland - PLACE - Somerset town, Montgomery County","Somerset town, Montgomery County",1216,423,0.27,0.00,0.27,4427.1,1540.0
0400000US24,24,Maryland,1600000US2473600,2473600,"Maryland - PLACE - South Kensington CDP, Montgomery County","South Kensington CDP, Montgomery County",8462(r44991),3211(r21557),2.12,0.04,2.08,4063.6,1542.0
0400000US24,24,Maryland,1600000US2473650,2473650,"Maryland - PLACE - South Laurel CDP, Prince George's County","South Laurel CDP, Prince George's County",26112,10502,8.18,0.03,8.15,3204.8,1288.9
0400000US24,24,Maryland,1600000US2474050,2474050,"Maryland - PLACE - Spencerville CDP, Montgomery County","Spencerville CDP, Montgomery County",1594,538,1.56,0.00,1.56,1023.7,345.5
0400000US24,24,Maryland,1600000US2474282,2474282,"Maryland - PLACE - Springdale CDP, Prince George's County","Springdale CDP, Prince George's County",2994,949,0.81,0.00,0.81,3704.1,1174.1
0400000US24,24,Maryland,1600000US2474350,2474350,"Maryland - PLACE - Spring Gap CDP, Allegany County","Spring Gap CDP, Allegany County",55,34,0.65,0.00,0.65,85.0,52.6
0400000US24,24,Maryland,1600000US2474560,2474560,"Maryland - PLACE - Spring Ridge CDP, Frederick County","Spring Ridge CDP, Frederick County",5795,2146,2.67,0.03,2.64,2198.0,814.0
0400000US24,24,Maryland,1600000US2475025,2475025,"Maryland - PLACE - Stevensville CDP, Queen Anne's County","Stevensville CDP, Queen Anne's County",6803,2644,6.44,0.00,6.44,1057.1,410.8
0400000US24,24,Maryland,1600000US2475200,2475200,"Maryland - PLACE - Stockton CDP, Worcester County","Stockton CDP, Worcester County",92,59,1.71,0.00,1.70,54.1,34.7
0400000US24,24,Maryland,1600000US2475650,2475650,"Maryland - PLACE - Sudlersville town, Queen Anne's County","Sudlersville town, Queen Anne's County",497,244,0.94,0.00,0.94,530.4,260.4
0400000US24,24,Maryland,1600000US2475725,2475725,"Maryland - PLACE - Suitland CDP, Prince George's County","Suitland CDP, Prince George's County",25825,10805,4.25,0.00,4.25,6073.7,2541.2
0400000US24,24,Maryland,1600000US2475810,2475810,"Maryland - PLACE - Summerfield CDP, Prince George's County","Summerfield CDP, Prince George's County",10898,5725,3.64,0.01,3.63,3002.3,1577.2
0400000US24,24,Maryland,1600000US2476450,2476450,"Maryland - PLACE - Swanton CDP, Garrett County","Swanton CDP, Garrett County",58,34,0.38,0.00,0.38,151.3,88.7
0400000US24,24,Maryland,1600000US2476550,2476550,"Maryland - PLACE - Sykesville town, Carroll County","Sykesville town, Carroll County",4436,1474,1.58,0.00,1.58,2815.1,935.4
0400000US24,24,Maryland,1600000US2476650,2476650,"Maryland - PLACE - Takoma Park city, Montgomery County","Takoma Park city, Montgomery County",16715,7162,2.09,0.01,2.08,8027.5,3439.6
0400000US24,24,Maryland,1600000US2476675,2476675,"Maryland - PLACE - Tall Timbers CDP, St. Mary's County","Tall Timbers CDP, St. Mary's County",462,257,1.52,0.15,1.38,335.6,186.7
0400000US24,24,Maryland,1600000US2476725,2476725,"Maryland - PLACE - Taneytown city, Carroll County","Taneytown city, Carroll County",6728,2554,3.04,0.01,3.03,2217.0,841.6
0400000US24,24,Maryland,1600000US2476925,2476925,"Maryland - PLACE - Taylors Island CDP, Dorchester County","Taylors Island CDP, Dorchester County",173,149,4.16,0.02,4.14,41.7,36.0
0400000US24,24,Maryland,1600000US2477100,2477100,"Maryland - PLACE - Temple Hills CDP, Prince George's County","Temple Hills CDP, Prince George's County",7852,3544,1.41,0.00,1.41,5577.8,2517.5
0400000US24,24,Maryland,1600000US2477200,2477200,Maryland - PLACE - Templeville town,Templeville town,138,43,0.08,0.00,0.08,1726.3,537.9
0400000US24,24,Maryland,1550000US2477200011,2477200011,Maryland - PLACE - Templeville town - Caroline County (part),Caroline County (part),52,17,0.05,0.00,0.05,1000.6,327.1
0400000US24,24,Maryland,1550000US2477200035,2477200035,Maryland - PLACE - Templeville town - Queen Anne's County (part),Queen Anne's County (part),86,26,0.03,0.00,0.03,3074.6,929.5
0400000US24,24,Maryland,1600000US2477825,2477825,"Maryland - PLACE - Thurmont town, Frederick County","Thurmont town, Frederick County",6170,2498,3.13,0.01,3.12,1975.8,799.9
0400000US24,24,Maryland,1600000US2477912,2477912,"Maryland - PLACE - Tilghman Island CDP, Talbot County","Tilghman Island CDP, Talbot County",784,632,2.54,0.14,2.40,327.1,263.7
0400000US24,24,Maryland,1600000US2477925,2477925,"Maryland - PLACE - Tilghmanton CDP, Washington County","Tilghmanton CDP, Washington County",465,183,0.46,0.00,0.46,1002.4,394.5
0400000US24,24,Maryland,1600000US2478050,2478050,"Maryland - PLACE - Timonium CDP, Baltimore County","Timonium CDP, Baltimore County",9925,4139,5.36,0.00,5.35,1853.7,773.0
0400000US24,24,Maryland,1600000US2478120,2478120,"Maryland - PLACE - Tolchester CDP, Kent County","Tolchester CDP, Kent County",329,221,0.62,0.01,0.61,539.1,362.1
0400000US24,24,Maryland,1600000US2478425,2478425,"Maryland - PLACE - Towson CDP, Baltimore County","Towson CDP, Baltimore County",55197(r44992),22779(r21558),14.28,0.14,14.15,3901.9,1610.2
0400000US24,24,Maryland,1600000US2478575,2478575,"Maryland - PLACE - Trappe town, Talbot County","Trappe town, Talbot County",1077,491,2.78,0.00,2.78,388.0,176.9
0400000US24,24,Maryland,1600000US2478650,2478650,"Maryland - PLACE - Travilah CDP, Montgomery County","Travilah CDP, Montgomery County",12159,3950,17.28,1.46,15.83,768.2,249.6
0400000US24,24,Maryland,1600000US2478705,2478705,"Maryland - PLACE - Trego-Rohrersville Station CDP, Washington County","Trego-Rohrersville Station CDP, Washington County",172,64,0.43,0.00,0.43,403.4,150.1
0400000US24,24,Maryland,1600000US2479225,2479225,"Maryland - PLACE - Tyaskin CDP, Wicomico County","Tyaskin CDP, Wicomico County",236,139,1.30,0.00,1.30,181.6,107.0
0400000US24,24,Maryland,1600000US2479350,2479350,"Maryland - PLACE - Union Bridge town, Carroll County","Union Bridge town, Carroll County",975,429,1.05,0.01,1.04,938.1,412.7
0400000US24,24,Maryland,1600000US2479675,2479675,"Maryland - PLACE - University Park town, Prince George's County","University Park town, Prince George's County",2548,919,0.50,0.00,0.50,5096.9,1838.3
0400000US24,24,Maryland,1600000US2479875,2479875,"Maryland - PLACE - Upper Marlboro town, Prince George's County","Upper Marlboro town, Prince George's County",631,310,0.43,0.02,0.40,1563.5,768.1
0400000US24,24,Maryland,1600000US2479900,2479900,"Maryland - PLACE - Urbana CDP, Frederick County","Urbana CDP, Frederick County",9175,2936,6.62,0.06,6.56,1398.8,447.6
0400000US24,24,Maryland,1600000US2480075,2480075,"Maryland - PLACE - Vale Summit CDP, Allegany County","Vale Summit CDP, Allegany County",139,59,0.98,0.00,0.98,142.5,60.5
0400000US24,24,Maryland,1600000US2480600,2480600,"Maryland - PLACE - Vienna town, Dorchester County","Vienna town, Dorchester County",271,143,0.19,0.00,0.19,1458.0,769.3
0400000US24,24,Maryland,1600000US2481175,2481175,"Maryland - PLACE - Waldorf CDP, Charles County","Waldorf CDP, Charles County",67752,25496,36.48,0.26,36.22,1870.6,703.9
0400000US24,24,Maryland,1600000US2481250,2481250,"Maryland - PLACE - Walker Mill CDP, Prince George's County","Walker Mill CDP, Prince George's County",11302,4564,3.16,0.00,3.16,3575.0,1443.7
0400000US24,24,Maryland,1600000US2481275,2481275,"Maryland - PLACE - Walkersville town, Frederick County","Walkersville town, Frederick County",5800,2206,4.36,0.01,4.35,1333.2,507.1
0400000US24,24,Maryland,1600000US2481675,2481675,"Maryland - PLACE - Washington Grove town, Montgomery County","Washington Grove town, Montgomery County",555,242,0.35,0.00,0.35,1580.4,689.1
0400000US24,24,Maryland,1600000US2481925,2481925,"Maryland - PLACE - Waterview CDP, Wicomico County","Waterview CDP, Wicomico County",40,36,0.49,0.01,0.49,81.7,73.5
0400000US24,24,Maryland,1600000US2482625,2482625,"Maryland - PLACE - West Denton CDP, Caroline County","West Denton CDP, Caroline County",52,29,0.30,0.00,0.30,175.6,97.9
0400000US24,24,Maryland,1600000US2482750,2482750,"Maryland - PLACE - Westernport town, Allegany County","Westernport town, Allegany County",1888,1006,0.90,0.02,0.87,2162.8,1152.4
0400000US24,24,Maryland,1600000US2483025,2483025,"Maryland - PLACE - West Laurel CDP, Prince George's County","West Laurel CDP, Prince George's County",4230,1509,2.38,0.10,2.28,1859.3,663.3
0400000US24,24,Maryland,1600000US2483100,2483100,"Maryland - PLACE - Westminster city, Carroll County","Westminster city, Carroll County",18590,7684,6.64,0.01,6.63,2804.4,1159.2
0400000US24,24,Maryland,1600000US2483225,2483225,"Maryland - PLACE - West Ocean City CDP, Worcester County","West Ocean City CDP, Worcester County",4375,2701,6.61,2.84,3.78,1158.6,715.3
0400000US24,24,Maryland,1600000US2483290,2483290,"Maryland - PLACE - Westphalia CDP, Prince George's County","Westphalia CDP, Prince George's County",7266,2755,13.30,0.03,13.27,547.5,207.6
0400000US24,24,Maryland,1600000US2483337,2483337,"Maryland - PLACE - West Pocomoke CDP, Somerset County","West Pocomoke CDP, Somerset County",454,251,9.62,0.21,9.41,48.3,26.7
0400000US24,24,Maryland,1600000US2483746,2483746,"Maryland - PLACE - Whaleyville CDP, Worcester County","Whaleyville CDP, Worcester County",149,66,0.96,0.00,0.96,155.4,68.8
0400000US24,24,Maryland,1600000US2483775,2483775,"Maryland - PLACE - Wheaton CDP, Montgomery County","Wheaton CDP, Montgomery County",48284,15396,6.94,0.04,6.90,6998.2,2231.5
0400000US24,24,Maryland,1600000US2484225,2484225,"Maryland - PLACE - Whitehaven CDP, Wicomico County","Whitehaven CDP, Wicomico County",43,37,0.37,0.00,0.37,116.7,100.4
0400000US24,24,Maryland,1600000US2484350,2484350,"Maryland - PLACE - White Marsh CDP, Baltimore County","White Marsh CDP, Baltimore County",9513,3794,5.33,0.02,5.31,1792.2,714.8
0400000US24,24,Maryland,1600000US2484375,2484375,"Maryland - PLACE - White Oak CDP, Montgomery County","White Oak CDP, Montgomery County",17403,6865,3.78,0.00,3.78,4605.8,1816.9
0400000US24,24,Maryland,1600000US2484950,2484950,"Maryland - PLACE - Willards town, Wicomico County","Willards town, Wicomico County",958,398,1.07,0.00,1.07,891.7,370.4
0400000US24,24,Maryland,1600000US2485100,2485100,"Maryland - PLACE - Williamsport town, Washington County","Williamsport town, Washington County",2137,1080,1.04,0.00,1.04,2048.1,1035.1
0400000US24,24,Maryland,1600000US2485175,2485175,"Maryland - PLACE - Williston CDP, Caroline County","Williston CDP, Caroline County",155,68,0.26,0.00,0.26,590.2,258.9
0400000US24,24,Maryland,1600000US2485395,2485395,"Maryland - PLACE - Wilson-Conococheague CDP, Washington County","Wilson-Conococheague CDP, Washington County",2282,920,4.85,0.13,4.72,483.1,194.7
0400000US24,24,Maryland,1600000US2486275,2486275,"Maryland - PLACE - Woodland CDP, Allegany County","Woodland CDP, Allegany County",113,44,0.18,0.00,0.18,621.3,241.9
0400000US24,24,Maryland,1600000US2486475,2486475,"Maryland - PLACE - Woodlawn CDP (Baltimore County), Baltimore County","Woodlawn CDP (Baltimore County), Baltimore County",37879,15417,9.57,0.03,9.54,3971.2,1616.3
0400000US24,24,Maryland,1600000US2486525,2486525,"Maryland - PLACE - Woodlawn CDP (Prince George's County), Prince George's County","Woodlawn CDP (Prince George's County), Prince George's County",6334,1886,1.16,0.00,1.16,5452.1,1623.4
0400000US24,24,Maryland,1600000US2486710,2486710,"Maryland - PLACE - Woodmore CDP, Prince George's County","Woodmore CDP, Prince George's County",3936,1406,6.61,0.06,6.55,601.1,214.7
0400000US24,24,Maryland,1600000US2486750,2486750,"Maryland - PLACE - Woodsboro town, Frederick County","Woodsboro town, Frederick County",1141,443,0.72,0.00,0.71,1601.4,621.7
0400000US24,24,Maryland,1600000US2487000,2487000,"Maryland - PLACE - Worton CDP, Kent County","Worton CDP, Kent County",249,117,0.94,0.02,0.92,271.1,127.4
0400000US24,24,Maryland,1600000US2487150,2487150,"Maryland - PLACE - Yarrowsburg CDP, Washington County","Yarrowsburg CDP, Washington County",133,65,0.23,0.00,0.23,585.5,286.2
0400000US24,24,Maryland,1600000US2487275,2487275,"Maryland - PLACE - Zihlman CDP, Allegany County","Zihlman CDP, Allegany County",362,172,1.50,0.00,1.50,241.4,114.7
